Provincias;Sexo;Periodo;Total
08 Barcelona;Total;2018;5.609.350
08 Barcelona;Total;2017;5.576.037
08 Barcelona;Total;2016;5.542.680
08 Barcelona;Total;2015;5.523.922
08 Barcelona;Total;2014;5.523.784
08 Barcelona;Total;2013;5.540.925
08 Barcelona;Total;2012;5.552.050
08 Barcelona;Total;2011;5.529.099
08 Barcelona;Total;2010;5.511.147
08 Barcelona;Total;2009;5.487.935
08 Barcelona;Total;2008;5.416.447
08 Barcelona;Total;2007;5.332.513
08 Barcelona;Total;2006;5.309.404
08 Barcelona;Total;2005;5.226.354
08 Barcelona;Total;2004;5.117.885
08 Barcelona;Total;2003;5.052.666
08 Barcelona;Total;2002;4.906.117
08 Barcelona;Total;2001;4.804.606
08 Barcelona;Total;2000;4.736.277
08 Barcelona;Total;1999;4.706.325
08 Barcelona;Total;1998;4.666.271
08 Barcelona;Total;1997;""
08 Barcelona;Total;1996;4.628.277
08 Barcelona;Hombres;2021;2.791.250
08 Barcelona;Hombres;2020;2.804.316
08 Barcelona;Hombres;2019;2.762.689
08 Barcelona;Hombres;2018;2.733.466
08 Barcelona;Hombres;2017;2.718.621
08 Barcelona;Hombres;2016;2.704.771
08 Barcelona;Hombres;2015;2.696.360
08 Barcelona;Hombres;2014;2.699.040
08 Barcelona;Hombres;2013;2.711.403
08 Barcelona;Hombres;2012;2.722.394
08 Barcelona;Hombres;2011;2.715.628
08 Barcelona;Hombres;2010;2.710.304
08 Barcelona;Hombres;2009;2.703.137
08 Barcelona;Hombres;2008;2.668.359
08 Barcelona;Hombres;2007;2.623.719
08 Barcelona;Hombres;2006;2.615.776
08 Barcelona;Hombres;2005;2.571.514
08 Barcelona;Hombres;2004;2.512.246
08 Barcelona;Hombres;2003;2.479.347
08 Barcelona;Hombres;2002;2.398.899
08 Barcelona;Hombres;2001;2.337.968
08 Barcelona;Hombres;2000;2.299.291
08 Barcelona;Hombres;1999;2.283.548
08 Barcelona;Hombres;1998;2.261.746
08 Barcelona;Hombres;1997;""
08 Barcelona;Hombres;1996;2.246.945
08 Barcelona;Mujeres;2021;2.923.480
08 Barcelona;Mujeres;2020;2.939.086
08 Barcelona;Mujeres;2019;2.901.890
08 Barcelona;Mujeres;2018;2.875.884
08 Barcelona;Mujeres;2017;2.857.416
08 Barcelona;Mujeres;2016;2.837.909
08 Barcelona;Mujeres;2015;2.827.562
08 Barcelona;Mujeres;2014;2.824.744
08 Barcelona;Mujeres;2013;2.829.522
08 Barcelona;Mujeres;2012;2.829.656
08 Barcelona;Mujeres;2011;2.813.471
08 Barcelona;Mujeres;2010;2.800.843
08 Barcelona;Mujeres;2009;2.784.798
08 Barcelona;Mujeres;2008;2.748.088
08 Barcelona;Mujeres;2007;2.708.794
08 Barcelona;Mujeres;2006;2.693.628
08 Barcelona;Mujeres;2005;2.654.840
08 Barcelona;Mujeres;2004;2.605.639
08 Barcelona;Mujeres;2003;2.573.319
08 Barcelona;Mujeres;2002;2.507.218
08 Barcelona;Mujeres;2001;2.466.638
08 Barcelona;Mujeres;2000;2.436.986
08 Barcelona;Mujeres;1999;2.422.777
08 Barcelona;Mujeres;1998;2.404.525
08 Barcelona;Mujeres;1997;""
08 Barcelona;Mujeres;1996;2.381.332
48 Bizkaia;Total;2021;1.154.334
48 Bizkaia;Total;2020;1.159.443
48 Bizkaia;Total;2019;1.152.651
48 Bizkaia;Total;2018;1.149.628
48 Bizkaia;Total;2017;1.148.302
48 Bizkaia;Total;2016;1.147.576
48 Bizkaia;Total;2015;1.148.775
48 Bizkaia;Total;2014;1.151.905
48 Bizkaia;Total;2013;1.156.447
48 Bizkaia;Total;2012;1.158.439
48 Bizkaia;Total;2011;1.155.772
48 Bizkaia;Total;2010;1.153.724
48 Bizkaia;Total;2009;1.152.658
48 Bizkaia;Total;2008;1.146.421
48 Bizkaia;Total;2007;1.141.457
48 Bizkaia;Total;2006;1.139.863
48 Bizkaia;Total;2005;1.136.181
48 Bizkaia;Total;2004;1.132.861
48 Bizkaia;Total;2003;1.133.428
48 Bizkaia;Total;2002;1.133.444
48 Bizkaia;Total;2001;1.132.616
48 Bizkaia;Total;2000;1.132.729
48 Bizkaia;Total;1999;1.137.418
48 Bizkaia;Total;1998;1.137.594
48 Bizkaia;Total;1997;""
48 Bizkaia;Total;1996;1.140.026
48 Bizkaia;Hombres;2021;557.416
48 Bizkaia;Hombres;2020;559.798
48 Bizkaia;Hombres;2019;556.212
48 Bizkaia;Hombres;2018;554.879
48 Bizkaia;Hombres;2017;554.289
48 Bizkaia;Hombres;2016;554.342
48 Bizkaia;Hombres;2015;554.832
48 Bizkaia;Hombres;2014;556.772
48 Bizkaia;Hombres;2013;559.573
48 Bizkaia;Hombres;2012;561.134
48 Bizkaia;Hombres;2011;560.178
48 Bizkaia;Hombres;2010;559.359
48 Bizkaia;Hombres;2009;559.174
48 Bizkaia;Hombres;2008;556.095
48 Bizkaia;Hombres;2007;553.355
48 Bizkaia;Hombres;2006;553.501
48 Bizkaia;Hombres;2005;552.297
48 Bizkaia;Hombres;2004;550.836
48 Bizkaia;Hombres;2003;551.266
48 Bizkaia;Hombres;2002;551.288
48 Bizkaia;Hombres;2001;550.802
48 Bizkaia;Hombres;2000;550.880
48 Bizkaia;Hombres;1999;553.548
48 Bizkaia;Hombres;1998;553.761
48 Bizkaia;Hombres;1997;""
48 Bizkaia;Hombres;1996;555.274
48 Bizkaia;Mujeres;2021;596.918
48 Bizkaia;Mujeres;2020;599.645
48 Bizkaia;Mujeres;2019;596.439
48 Bizkaia;Mujeres;2018;594.749
48 Bizkaia;Mujeres;2017;594.013
48 Bizkaia;Mujeres;2016;593.234
48 Bizkaia;Mujeres;2015;593.943
48 Bizkaia;Mujeres;2014;595.133
48 Bizkaia;Mujeres;2013;596.874
48 Bizkaia;Mujeres;2012;597.305
48 Bizkaia;Mujeres;2011;595.594
48 Bizkaia;Mujeres;2010;594.365
48 Bizkaia;Mujeres;2009;593.484
48 Bizkaia;Mujeres;2008;590.326
48 Bizkaia;Mujeres;2007;588.102
48 Bizkaia;Mujeres;2006;586.362
48 Bizkaia;Mujeres;2005;583.884
48 Bizkaia;Mujeres;2004;582.025
48 Bizkaia;Mujeres;2003;582.162
48 Bizkaia;Mujeres;2002;582.156
48 Bizkaia;Mujeres;2001;581.814
48 Bizkaia;Mujeres;2000;581.849
48 Bizkaia;Mujeres;1999;583.870
48 Bizkaia;Mujeres;1998;583.833
48 Bizkaia;Mujeres;1997;""
48 Bizkaia;Mujeres;1996;584.752
09 Burgos;Total;2021;356.055
09 Burgos;Total;2020;357.650
09 Burgos;Total;2019;356.958
09 Burgos;Total;2018;357.070
09 Burgos;Total;2017;358.171
09 Burgos;Total;2016;360.995
09 Burgos;Total;2015;364.002
09 Burgos;Total;2014;366.900
09 Burgos;Total;2013;371.248
09 Burgos;Total;2012;374.970
09 Burgos;Total;2011;375.657
09 Burgos;Total;2010;374.826
09 Burgos;Total;2009;375.563
09 Burgos;Total;2008;373.672
09 Burgos;Total;2007;365.972
09 Burgos;Total;2006;363.874
09 Burgos;Total;2005;361.021
09 Burgos;Total;2004;356.437
09 Burgos;Total;2003;355.205
09 Burgos;Total;2002;352.723
09 Burgos;Total;2001;349.810
09 Burgos;Total;2000;347.240
09 Burgos;Total;1999;347.218
09 Burgos;Total;1998;346.355
09 Burgos;Total;1997;""
09 Burgos;Total;1996;350.074
09 Burgos;Hombres;2021;177.920
09 Burgos;Hombres;2020;178.578
09 Burgos;Hombres;2019;178.230
09 Burgos;Hombres;2018;178.337
09 Burgos;Hombres;2017;178.919
09 Burgos;Hombres;2016;180.418
09 Burgos;Hombres;2015;182.142
09 Burgos;Hombres;2014;183.882
09 Burgos;Hombres;2013;186.638
09 Burgos;Hombres;2012;189.124
09 Burgos;Hombres;2011;189.652
09 Burgos;Hombres;2010;189.454
09 Burgos;Hombres;2009;190.271
09 Burgos;Hombres;2008;189.675
09 Burgos;Hombres;2007;184.713
09 Burgos;Hombres;2006;183.355
09 Burgos;Hombres;2005;181.610
09 Burgos;Hombres;2004;178.943
09 Burgos;Hombres;2003;178.140
09 Burgos;Hombres;2002;176.770
09 Burgos;Hombres;2001;175.237
09 Burgos;Hombres;2000;173.695
09 Burgos;Hombres;1999;173.729
09 Burgos;Hombres;1998;173.195
09 Burgos;Hombres;1997;""
09 Burgos;Hombres;1996;175.247
09 Burgos;Mujeres;2021;178.135
09 Burgos;Mujeres;2020;179.072
09 Burgos;Mujeres;2019;178.728
09 Burgos;Mujeres;2018;178.733
09 Burgos;Mujeres;2017;179.252
09 Burgos;Mujeres;2016;180.577
09 Burgos;Mujeres;2015;181.860
09 Burgos;Mujeres;2014;183.018
09 Burgos;Mujeres;2013;184.610
09 Burgos;Mujeres;2012;185.846
09 Burgos;Mujeres;2011;186.005
09 Burgos;Mujeres;2010;185.372
09 Burgos;Mujeres;2009;185.292
09 Burgos;Mujeres;2008;183.997
09 Burgos;Mujeres;2007;181.259
09 Burgos;Mujeres;2006;180.519
09 Burgos;Mujeres;2005;179.411
09 Burgos;Mujeres;2004;177.494
09 Burgos;Mujeres;2003;177.065
09 Burgos;Mujeres;2002;175.953
09 Burgos;Mujeres;2001;174.573
09 Burgos;Mujeres;2000;173.545
09 Burgos;Mujeres;1999;173.489
09 Burgos;Mujeres;1998;173.160
09 Burgos;Mujeres;1997;""
09 Burgos;Mujeres;1996;174.827
10 Caceres;Total;2021;389.558
10 Caceres;Total;2020;391.850
10 Caceres;Total;2019;394.151
10 Caceres;Total;2018;396.487
10 Caceres;Total;2017;400.036
10 Caceres;Total;2016;403.665
10 Caceres;Total;2015;406.267
10 Caceres;Total;2014;408.703
10 Caceres;Total;2013;410.275
10 Caceres;Total;2012;413.597
10 Caceres;Total;2011;415.446
10 Caceres;Total;2010;415.083
10 Caceres;Total;2009;413.633
10 Caceres;Total;2008;412.498
10 Caceres;Total;2007;411.531
10 Caceres;Total;2006;412.899
10 Caceres;Total;2005;412.580
10 Caceres;Total;2004;411.390
10 Caceres;Total;2003;410.762
10 Caceres;Total;2002;410.242
10 Caceres;Total;2001;409.130
10 Caceres;Total;2000;407.546
10 Caceres;Total;1999;408.949
10 Caceres;Total;1998;405.616
10 Caceres;Total;1997;""
10 Caceres;Total;1996;413.396
10 Caceres;Hombres;2021;192.951
10 Caceres;Hombres;2020;194.084
10 Caceres;Hombres;2019;195.388
10 Caceres;Hombres;2018;196.619
10 Caceres;Hombres;2017;198.494
10 Caceres;Hombres;2016;200.285
10 Caceres;Hombres;2015;201.702
10 Caceres;Hombres;2014;202.962
10 Caceres;Hombres;2013;203.758
10 Caceres;Hombres;2012;205.634
10 Caceres;Hombres;2011;206.573
10 Caceres;Hombres;2010;206.358
10 Caceres;Hombres;2009;205.638
10 Caceres;Hombres;2008;205.949
10 Caceres;Hombres;2007;205.481
10 Caceres;Hombres;2006;206.593
10 Caceres;Hombres;2005;206.744
10 Caceres;Hombres;2004;206.185
10 Caceres;Hombres;2003;206.089
10 Caceres;Hombres;2002;205.848
10 Caceres;Hombres;2001;205.195
10 Caceres;Hombres;2000;203.946
10 Caceres;Hombres;1999;204.965
10 Caceres;Hombres;1998;202.834
10 Caceres;Hombres;1997;""
10 Caceres;Hombres;1996;205.735
10 Caceres;Mujeres;2021;196.607
10 Caceres;Mujeres;2020;197.766
10 Caceres;Mujeres;2019;198.763
10 Caceres;Mujeres;2018;199.868
10 Caceres;Mujeres;2017;201.542
10 Caceres;Mujeres;2016;203.380
10 Caceres;Mujeres;2015;204.565
10 Caceres;Mujeres;2014;205.741
10 Caceres;Mujeres;2013;206.517
10 Caceres;Mujeres;2012;207.963
10 Caceres;Mujeres;2011;208.873
10 Caceres;Mujeres;2010;208.725
10 Caceres;Mujeres;2009;207.995
10 Caceres;Mujeres;2008;206.549
10 Caceres;Mujeres;2007;206.050
10 Caceres;Mujeres;2006;206.306
10 Caceres;Mujeres;2005;205.836
10 Caceres;Mujeres;2004;205.205
10 Caceres;Mujeres;2003;204.673
10 Caceres;Mujeres;2002;204.394
10 Caceres;Mujeres;2001;203.935
10 Caceres;Mujeres;2000;203.600
10 Caceres;Mujeres;1999;203.984
10 Caceres;Mujeres;1998;202.782
10 Caceres;Mujeres;1997;""
10 Caceres;Mujeres;1996;207.661
11 Cadiz;Total;2021;1.245.960
11 Cadiz;Total;2020;1.244.049
11 Cadiz;Total;2019;1.240.155
11 Cadiz;Total;2018;1.238.714
11 Cadiz;Total;2017;1.239.435
11 Cadiz;Total;2016;1.239.889
11 Cadiz;Total;2015;1.240.284
11 Cadiz;Total;2014;1.240.175
11 Cadiz;Total;2013;1.238.492
11 Cadiz;Total;2012;1.245.164
11 Cadiz;Total;2011;1.243.519
11 Cadiz;Total;2010;1.236.739
11 Cadiz;Total;2009;1.230.594
11 Cadiz;Total;2008;1.220.467
11 Cadiz;Total;2007;1.207.343
11 Cadiz;Total;2006;1.194.062
11 Cadiz;Total;2005;1.180.817
11 Cadiz;Total;2004;1.164.374
11 Cadiz;Total;2003;1.155.724
11 Cadiz;Total;2002;1.140.793
11 Cadiz;Total;2001;1.131.346
11 Cadiz;Total;2000;1.125.105
11 Cadiz;Total;1999;1.119.802
11 Cadiz;Total;1998;1.107.484
11 Cadiz;Total;1997;""
11 Cadiz;Total;1996;1.105.762
11 Cadiz;Hombres;2021;614.084
11 Cadiz;Hombres;2020;613.561
11 Cadiz;Hombres;2019;611.791
11 Cadiz;Hombres;2018;611.357
11 Cadiz;Hombres;2017;612.191
11 Cadiz;Hombres;2016;612.858
11 Cadiz;Hombres;2015;613.094
11 Cadiz;Hombres;2014;613.340
11 Cadiz;Hombres;2013;612.770
11 Cadiz;Hombres;2012;616.686
11 Cadiz;Hombres;2011;615.865
11 Cadiz;Hombres;2010;612.833
11 Cadiz;Hombres;2009;609.984
11 Cadiz;Hombres;2008;608.616
11 Cadiz;Hombres;2007;601.832
11 Cadiz;Hombres;2006;594.647
11 Cadiz;Hombres;2005;587.700
11 Cadiz;Hombres;2004;578.939
11 Cadiz;Hombres;2003;573.992
11 Cadiz;Hombres;2002;566.033
11 Cadiz;Hombres;2001;561.330
11 Cadiz;Hombres;2000;557.963
11 Cadiz;Hombres;1999;555.684
11 Cadiz;Hombres;1998;549.120
11 Cadiz;Hombres;1997;""
11 Cadiz;Hombres;1996;548.263
11 Cadiz;Mujeres;2021;631.876
11 Cadiz;Mujeres;2020;630.488
11 Cadiz;Mujeres;2019;628.364
11 Cadiz;Mujeres;2018;627.357
11 Cadiz;Mujeres;2017;627.244
11 Cadiz;Mujeres;2016;627.031
11 Cadiz;Mujeres;2015;627.190
11 Cadiz;Mujeres;2014;626.835
11 Cadiz;Mujeres;2013;625.722
11 Cadiz;Mujeres;2012;628.478
11 Cadiz;Mujeres;2011;627.654
11 Cadiz;Mujeres;2010;623.906
11 Cadiz;Mujeres;2009;620.610
11 Cadiz;Mujeres;2008;611.851
11 Cadiz;Mujeres;2007;605.511
11 Cadiz;Mujeres;2006;599.415
11 Cadiz;Mujeres;2005;593.117
11 Cadiz;Mujeres;2004;585.435
11 Cadiz;Mujeres;2003;581.732
11 Cadiz;Mujeres;2002;574.760
11 Cadiz;Mujeres;2001;570.016
11 Cadiz;Mujeres;2000;567.142
11 Cadiz;Mujeres;1999;564.118
11 Cadiz;Mujeres;1998;558.364
11 Cadiz;Mujeres;1997;""
11 Cadiz;Mujeres;1996;557.499
39 Cantabria;Total;2021;584.507
39 Cantabria;Total;2020;582.905
39 Cantabria;Total;2019;581.078
39 Cantabria;Total;2018;580.229
39 Cantabria;Total;2017;580.295
39 Cantabria;Total;2016;582.206
39 Cantabria;Total;2015;585.179
39 Cantabria;Total;2014;588.656
39 Cantabria;Total;2013;591.888
39 Cantabria;Total;2012;593.861
39 Cantabria;Total;2011;593.121
39 Cantabria;Total;2010;592.250
39 Cantabria;Total;2009;589.235
39 Cantabria;Total;2008;582.138
39 Cantabria;Total;2007;572.824
39 Cantabria;Total;2006;568.091
39 Cantabria;Total;2005;562.309
39 Cantabria;Total;2004;554.784
39 Cantabria;Total;2003;549.690
39 Cantabria;Total;2002;542.275
39 Cantabria;Total;2001;537.606
39 Cantabria;Total;2000;531.159
39 Cantabria;Total;1999;528.478
39 Cantabria;Total;1998;527.137
39 Cantabria;Total;1997;""
39 Cantabria;Total;1996;527.437
39 Cantabria;Hombres;2021;283.378
39 Cantabria;Hombres;2020;282.559
39 Cantabria;Hombres;2019;281.801
39 Cantabria;Hombres;2018;281.564
39 Cantabria;Hombres;2017;281.808
39 Cantabria;Hombres;2016;282.988
39 Cantabria;Hombres;2015;284.788
39 Cantabria;Hombres;2014;286.782
39 Cantabria;Hombres;2013;288.643
39 Cantabria;Hombres;2012;289.999
39 Cantabria;Hombres;2011;289.872
39 Cantabria;Hombres;2010;289.931
39 Cantabria;Hombres;2009;288.735
39 Cantabria;Hombres;2008;285.469
39 Cantabria;Hombres;2007;280.283
39 Cantabria;Hombres;2006;277.869
39 Cantabria;Hombres;2005;274.797
39 Cantabria;Hombres;2004;270.907
39 Cantabria;Hombres;2003;268.309
39 Cantabria;Hombres;2002;264.492
39 Cantabria;Hombres;2001;261.967
39 Cantabria;Hombres;2000;258.682
39 Cantabria;Hombres;1999;257.495
39 Cantabria;Hombres;1998;256.766
39 Cantabria;Hombres;1997;""
39 Cantabria;Hombres;1996;256.946
39 Cantabria;Mujeres;2021;301.129
39 Cantabria;Mujeres;2020;300.346
39 Cantabria;Mujeres;2019;299.277
39 Cantabria;Mujeres;2018;298.665
39 Cantabria;Mujeres;2017;298.487
39 Cantabria;Mujeres;2016;299.218
39 Cantabria;Mujeres;2015;300.391
39 Cantabria;Mujeres;2014;301.874
39 Cantabria;Mujeres;2013;303.245
39 Cantabria;Mujeres;2012;303.862
39 Cantabria;Mujeres;2011;303.249
39 Cantabria;Mujeres;2010;302.319
39 Cantabria;Mujeres;2009;300.500
39 Cantabria;Mujeres;2008;296.669
39 Cantabria;Mujeres;2007;292.541
39 Cantabria;Mujeres;2006;290.222
39 Cantabria;Mujeres;2005;287.512
39 Cantabria;Mujeres;2004;283.877
39 Cantabria;Mujeres;2003;281.381
39 Cantabria;Mujeres;2002;277.783
39 Cantabria;Mujeres;2001;275.639
39 Cantabria;Mujeres;2000;272.477
39 Cantabria;Mujeres;1999;270.983
39 Cantabria;Mujeres;1998;270.371
39 Cantabria;Mujeres;1997;""
39 Cantabria;Mujeres;1996;270.491
12 Castellon/Castello;Total;2021;587.064
12 Castellon/Castello;Total;2020;585.590
12 Castellon/Castello;Total;2019;579.962
12 Castellon/Castello;Total;2018;576.898
12 Castellon/Castello;Total;2017;575.470
12 Castellon/Castello;Total;2016;579.245
12 Castellon/Castello;Total;2015;582.327
12 Castellon/Castello;Total;2014;587.508
12 Castellon/Castello;Total;2013;601.699
12 Castellon/Castello;Total;2012;604.564
12 Castellon/Castello;Total;2011;604.344
12 Castellon/Castello;Total;2010;604.274
12 Castellon/Castello;Total;2009;602.301
12 Castellon/Castello;Total;2008;594.915
12 Castellon/Castello;Total;2007;573.282
12 Castellon/Castello;Total;2006;559.761
12 Castellon/Castello;Total;2005;543.432
12 Castellon/Castello;Total;2004;527.345
12 Castellon/Castello;Total;2003;518.239
12 Castellon/Castello;Total;2002;501.237
12 Castellon/Castello;Total;2001;485.173
12 Castellon/Castello;Total;2000;474.385
12 Castellon/Castello;Total;1999;467.895
12 Castellon/Castello;Total;1998;461.712
12 Castellon/Castello;Total;1997;""
12 Castellon/Castello;Total;1996;456.727
12 Castellon/Castello;Hombres;2021;291.415
12 Castellon/Castello;Hombres;2020;290.799
12 Castellon/Castello;Hombres;2019;288.077
12 Castellon/Castello;Hombres;2018;286.359
12 Castellon/Castello;Hombres;2017;285.467
12 Castellon/Castello;Hombres;2016;287.802
12 Castellon/Castello;Hombres;2015;289.720
12 Castellon/Castello;Hombres;2014;292.804
12 Castellon/Castello;Hombres;2013;300.992
12 Castellon/Castello;Hombres;2012;302.927
12 Castellon/Castello;Hombres;2011;302.855
12 Castellon/Castello;Hombres;2010;303.490
12 Castellon/Castello;Hombres;2009;303.460
12 Castellon/Castello;Hombres;2008;299.829
12 Castellon/Castello;Hombres;2007;288.079
12 Castellon/Castello;Hombres;2006;281.340
12 Castellon/Castello;Hombres;2005;272.714
12 Castellon/Castello;Hombres;2004;264.099
12 Castellon/Castello;Hombres;2003;259.437
12 Castellon/Castello;Hombres;2002;250.410
12 Castellon/Castello;Hombres;2001;241.143
12 Castellon/Castello;Hombres;2000;235.070
12 Castellon/Castello;Hombres;1999;231.578
12 Castellon/Castello;Hombres;1998;228.231
12 Castellon/Castello;Hombres;1997;""
12 Castellon/Castello;Hombres;1996;225.406
12 Castellon/Castello;Mujeres;2021;295.649
12 Castellon/Castello;Mujeres;2020;294.791
12 Castellon/Castello;Mujeres;2019;291.885
12 Castellon/Castello;Mujeres;2018;290.539
12 Castellon/Castello;Mujeres;2017;290.003
12 Castellon/Castello;Mujeres;2016;291.443
12 Castellon/Castello;Mujeres;2015;292.607
12 Castellon/Castello;Mujeres;2014;294.704
12 Castellon/Castello;Mujeres;2013;300.707
12 Castellon/Castello;Mujeres;2012;301.637
12 Castellon/Castello;Mujeres;2011;301.489
12 Castellon/Castello;Mujeres;2010;300.784
12 Castellon/Castello;Mujeres;2009;298.841
12 Castellon/Castello;Mujeres;2008;295.086
12 Castellon/Castello;Mujeres;2007;285.203
12 Castellon/Castello;Mujeres;2006;278.421
12 Castellon/Castello;Mujeres;2005;270.718
12 Castellon/Castello;Mujeres;2004;263.246
12 Castellon/Castello;Mujeres;2003;258.802
12 Castellon/Castello;Mujeres;2002;250.827
12 Castellon/Castello;Mujeres;2001;244.030
12 Castellon/Castello;Mujeres;2000;239.315
12 Castellon/Castello;Mujeres;1999;236.317
12 Castellon/Castello;Mujeres;1998;233.481
12 Castellon/Castello;Mujeres;1997;""
12 Castellon/Castello;Mujeres;1996;231.321
13 Ciudad Real;Total;2021;492.591
13 Ciudad Real;Total;2020;495.045
13 Ciudad Real;Total;2019;495.761
13 Ciudad Real;Total;2018;499.100
13 Ciudad Real;Total;2017;502.578
13 Ciudad Real;Total;2016;506.888
13 Ciudad Real;Total;2015;513.713
13 Ciudad Real;Total;2014;519.613
13 Ciudad Real;Total;2013;524.962
13 Ciudad Real;Total;2012;530.250
13 Ciudad Real;Total;2011;530.175
13 Ciudad Real;Total;2010;529.453
13 Ciudad Real;Total;2009;527.273
13 Ciudad Real;Total;2008;522.343
13 Ciudad Real;Total;2007;510.122
13 Ciudad Real;Total;2006;506.864
13 Ciudad Real;Total;2005;500.060
13 Ciudad Real;Total;2004;492.914
13 Ciudad Real;Total;2003;487.670
13 Ciudad Real;Total;2002;484.338
13 Ciudad Real;Total;2001;478.581
13 Ciudad Real;Total;2000;476.633
13 Ciudad Real;Total;1999;479.087
13 Ciudad Real;Total;1998;479.474
13 Ciudad Real;Total;1997;""
13 Ciudad Real;Total;1996;478.672
13 Ciudad Real;Hombres;2021;243.763
13 Ciudad Real;Hombres;2020;244.842
13 Ciudad Real;Hombres;2019;244.877
13 Ciudad Real;Hombres;2018;246.656
13 Ciudad Real;Hombres;2017;248.328
13 Ciudad Real;Hombres;2016;250.847
13 Ciudad Real;Hombres;2015;254.571
13 Ciudad Real;Hombres;2014;257.918
13 Ciudad Real;Hombres;2013;260.888
13 Ciudad Real;Hombres;2012;264.067
13 Ciudad Real;Hombres;2011;264.078
13 Ciudad Real;Hombres;2010;264.098
13 Ciudad Real;Hombres;2009;263.038
13 Ciudad Real;Hombres;2008;260.649
13 Ciudad Real;Hombres;2007;253.473
13 Ciudad Real;Hombres;2006;251.565
13 Ciudad Real;Hombres;2005;247.795
13 Ciudad Real;Hombres;2004;243.698
13 Ciudad Real;Hombres;2003;240.603
13 Ciudad Real;Hombres;2002;238.380
13 Ciudad Real;Hombres;2001;234.988
13 Ciudad Real;Hombres;2000;233.538
13 Ciudad Real;Hombres;1999;234.828
13 Ciudad Real;Hombres;1998;234.972
13 Ciudad Real;Hombres;1997;""
13 Ciudad Real;Hombres;1996;234.355
13 Ciudad Real;Mujeres;2021;248.828
13 Ciudad Real;Mujeres;2020;250.203
13 Ciudad Real;Mujeres;2019;250.884
13 Ciudad Real;Mujeres;2018;252.444
13 Ciudad Real;Mujeres;2017;254.250
13 Ciudad Real;Mujeres;2016;256.041
13 Ciudad Real;Mujeres;2015;259.142
13 Ciudad Real;Mujeres;2014;261.695
13 Ciudad Real;Mujeres;2013;264.074
13 Ciudad Real;Mujeres;2012;266.183
13 Ciudad Real;Mujeres;2011;266.097
13 Ciudad Real;Mujeres;2010;265.355
13 Ciudad Real;Mujeres;2009;264.235
13 Ciudad Real;Mujeres;2008;261.694
13 Ciudad Real;Mujeres;2007;256.649
13 Ciudad Real;Mujeres;2006;255.299
13 Ciudad Real;Mujeres;2005;252.265
13 Ciudad Real;Mujeres;2004;249.216
13 Ciudad Real;Mujeres;2003;247.067
13 Ciudad Real;Mujeres;2002;245.958
13 Ciudad Real;Mujeres;2001;243.593
13 Ciudad Real;Mujeres;2000;243.095
13 Ciudad Real;Mujeres;1999;244.259
13 Ciudad Real;Mujeres;1998;244.502
13 Ciudad Real;Mujeres;1997;""
13 Ciudad Real;Mujeres;1996;244.317
14 Cordoba;Total;2021;776.789
14 Cordoba;Total;2020;781.451
14 Cordoba;Total;2019;782.979
14 Cordoba;Total;2018;785.240
14 Cordoba;Total;2017;788.219
14 Cordoba;Total;2016;791.610
14 Cordoba;Total;2015;795.611
14 Cordoba;Total;2014;799.402
14 Cordoba;Total;2013;802.422
14 Cordoba;Total;2012;804.498
14 Cordoba;Total;2011;805.857
14 Cordoba;Total;2010;805.108
14 Cordoba;Total;2009;803.998
14 Cordoba;Total;2008;798.822
14 Cordoba;Total;2007;792.182
14 Cordoba;Total;2006;788.287
14 Cordoba;Total;2005;784.376
14 Cordoba;Total;2004;779.870
14 Cordoba;Total;2003;775.944
14 Cordoba;Total;2002;771.131
14 Cordoba;Total;2001;769.625
14 Cordoba;Total;2000;769.237
14 Cordoba;Total;1999;768.676
14 Cordoba;Total;1998;767.175
14 Cordoba;Total;1997;""
14 Cordoba;Total;1996;761.401
14 Cordoba;Hombres;2021;380.473
14 Cordoba;Hombres;2020;382.886
14 Cordoba;Hombres;2019;383.790
14 Cordoba;Hombres;2018;385.085
14 Cordoba;Hombres;2017;386.736
14 Cordoba;Hombres;2016;388.470
14 Cordoba;Hombres;2015;390.559
14 Cordoba;Hombres;2014;392.644
14 Cordoba;Hombres;2013;394.189
14 Cordoba;Hombres;2012;395.300
14 Cordoba;Hombres;2011;395.858
14 Cordoba;Hombres;2010;395.570
14 Cordoba;Hombres;2009;395.225
14 Cordoba;Hombres;2008;392.658
14 Cordoba;Hombres;2007;389.173
14 Cordoba;Hombres;2006;386.939
14 Cordoba;Hombres;2005;384.749
14 Cordoba;Hombres;2004;382.213
14 Cordoba;Hombres;2003;379.989
14 Cordoba;Hombres;2002;377.328
14 Cordoba;Hombres;2001;376.511
14 Cordoba;Hombres;2000;376.308
14 Cordoba;Hombres;1999;376.237
14 Cordoba;Hombres;1998;375.244
14 Cordoba;Hombres;1997;""
14 Cordoba;Hombres;1996;372.249
14 Cordoba;Mujeres;2021;396.316
14 Cordoba;Mujeres;2020;398.565
14 Cordoba;Mujeres;2019;399.189
14 Cordoba;Mujeres;2018;400.155
14 Cordoba;Mujeres;2017;401.483
14 Cordoba;Mujeres;2016;403.140
14 Cordoba;Mujeres;2015;405.052
14 Cordoba;Mujeres;2014;406.758
14 Cordoba;Mujeres;2013;408.233
14 Cordoba;Mujeres;2012;409.198
14 Cordoba;Mujeres;2011;409.999
14 Cordoba;Mujeres;2010;409.538
