Provincias;Sexo;Periodo;Total
03 Alicante/Alacant;Total;2020;1.879.888
03 Alicante/Alacant;Total;2019;1.858.683
03 Alicante/Alacant;Total;2018;1.838.819
03 Alicante/Alacant;Total;2017;1.825.332
03 Alicante/Alacant;Total;2016;1.836.459
03 Alicante/Alacant;Total;2015;1.855.047
03 Alicante/Alacant;Total;2014;1.868.438
03 Alicante/Alacant;Total;2013;1.945.642
03 Alicante/Alacant;Total;2012;1.943.910
03 Alicante/Alacant;Total;2011;1.934.127
03 Alicante/Alacant;Total;2010;1.926.285
03 Alicante/Alacant;Total;2009;1.917.012
03 Alicante/Alacant;Total;2008;1.891.477
03 Alicante/Alacant;Total;2007;1.825.264
03 Alicante/Alacant;Total;2006;1.783.555
03 Alicante/Alacant;Total;2005;1.732.389
03 Alicante/Alacant;Total;2004;1.657.040
03 Alicante/Alacant;Total;2003;1.632.349
03 Alicante/Alacant;Total;2002;1.557.968
03 Alicante/Alacant;Total;2001;1.490.265
03 Alicante/Alacant;Total;2000;1.445.144
03 Alicante/Alacant;Total;1999;1.410.946
03 Alicante/Alacant;Total;1998;1.388.933
03 Alicante/Alacant;Total;1997;""
03 Alicante/Alacant;Total;1996;1.379.762
03 Alicante/Alacant;Hombres;2021;932.018
03 Alicante/Alacant;Hombres;2020;931.856
03 Alicante/Alacant;Hombres;2019;920.915
03 Alicante/Alacant;Hombres;2018;911.097
03 Alicante/Alacant;Hombres;2017;904.711
03 Alicante/Alacant;Hombres;2016;911.173
03 Alicante/Alacant;Hombres;2015;920.920
03 Alicante/Alacant;Hombres;2014;928.519
03 Alicante/Alacant;Hombres;2013;968.927
03 Alicante/Alacant;Hombres;2012;969.237
03 Alicante/Alacant;Hombres;2011;964.560
03 Alicante/Alacant;Hombres;2010;961.733
03 Alicante/Alacant;Hombres;2009;958.200
03 Alicante/Alacant;Hombres;2008;947.523
03 Alicante/Alacant;Hombres;2007;913.455
03 Alicante/Alacant;Hombres;2006;892.862
03 Alicante/Alacant;Hombres;2005;866.000
03 Alicante/Alacant;Hombres;2004;825.568
03 Alicante/Alacant;Hombres;2003;811.672
03 Alicante/Alacant;Hombres;2002;772.613
03 Alicante/Alacant;Hombres;2001;735.179
03 Alicante/Alacant;Hombres;2000;710.896
03 Alicante/Alacant;Hombres;1999;693.933
03 Alicante/Alacant;Hombres;1998;682.380
03 Alicante/Alacant;Hombres;1997;""
03 Alicante/Alacant;Hombres;1996;677.118
03 Alicante/Alacant;Mujeres;2021;949.744
03 Alicante/Alacant;Mujeres;2020;948.032
03 Alicante/Alacant;Mujeres;2019;937.768
03 Alicante/Alacant;Mujeres;2018;927.722
03 Alicante/Alacant;Mujeres;2017;920.621
03 Alicante/Alacant;Mujeres;2016;925.286
03 Alicante/Alacant;Mujeres;2015;934.127
03 Alicante/Alacant;Mujeres;2014;939.919
03 Alicante/Alacant;Mujeres;2013;976.715
03 Alicante/Alacant;Mujeres;2012;974.673
03 Alicante/Alacant;Mujeres;2011;969.567
03 Alicante/Alacant;Mujeres;2010;964.552
03 Alicante/Alacant;Mujeres;2009;958.812
03 Alicante/Alacant;Mujeres;2008;943.954
03 Alicante/Alacant;Mujeres;2007;911.809
03 Alicante/Alacant;Mujeres;2006;890.693
03 Alicante/Alacant;Mujeres;2005;866.389
03 Alicante/Alacant;Mujeres;2004;831.472
03 Alicante/Alacant;Mujeres;2003;820.677
03 Alicante/Alacant;Mujeres;2002;785.355
03 Alicante/Alacant;Mujeres;2001;755.086
03 Alicante/Alacant;Mujeres;2000;734.248
03 Alicante/Alacant;Mujeres;1999;717.013
03 Alicante/Alacant;Mujeres;1998;706.553
03 Alicante/Alacant;Mujeres;1997;""
03 Alicante/Alacant;Mujeres;1996;702.644
04 Almeria;Total;2021;731.792
04 Almeria;Total;2020;727.945
04 Almeria;Total;2019;716.820
04 Almeria;Total;2018;709.340
04 Almeria;Total;2017;706.672
04 Almeria;Total;2016;704.297
04 Almeria;Total;2015;701.211
04 Almeria;Total;2014;701.688
04 Almeria;Total;2013;699.329
04 Almeria;Total;2012;704.219
04 Almeria;Total;2011;702.819
04 Almeria;Total;2010;695.560
04 Almeria;Total;2009;684.426
04 Almeria;Total;2008;667.635
04 Almeria;Total;2007;646.633
04 Almeria;Total;2006;635.850
04 Almeria;Total;2005;612.315
04 Almeria;Total;2004;580.077
04 Almeria;Total;2003;565.310
04 Almeria;Total;2002;546.498
04 Almeria;Total;2001;533.168
04 Almeria;Total;2000;518.229
04 Almeria;Total;1999;512.843
04 Almeria;Total;1998;505.448
04 Almeria;Total;1997;""
04 Almeria;Total;1996;501.761
04 Almeria;Hombres;2021;373.136
04 Almeria;Hombres;2020;371.558
04 Almeria;Hombres;2019;365.701
04 Almeria;Hombres;2018;361.319
04 Almeria;Hombres;2017;359.676
04 Almeria;Hombres;2016;358.223
04 Almeria;Hombres;2015;356.058
04 Almeria;Hombres;2014;356.663
04 Almeria;Hombres;2013;355.658
04 Almeria;Hombres;2012;359.547
04 Almeria;Hombres;2011;361.189
04 Almeria;Hombres;2010;358.112
04 Almeria;Hombres;2009;352.395
04 Almeria;Hombres;2008;343.716
04 Almeria;Hombres;2007;333.227
04 Almeria;Hombres;2006;329.632
04 Almeria;Hombres;2005;315.056
04 Almeria;Hombres;2004;294.186
04 Almeria;Hombres;2003;287.292
04 Almeria;Hombres;2002;276.380
04 Almeria;Hombres;2001;269.545
04 Almeria;Hombres;2000;259.384
04 Almeria;Hombres;1999;256.380
04 Almeria;Hombres;1998;252.177
04 Almeria;Hombres;1997;""
04 Almeria;Hombres;1996;250.552
04 Almeria;Mujeres;2021;358.656
04 Almeria;Mujeres;2020;356.387
04 Almeria;Mujeres;2019;351.119
04 Almeria;Mujeres;2018;348.021
04 Almeria;Mujeres;2017;346.996
04 Almeria;Mujeres;2016;346.074
04 Almeria;Mujeres;2015;345.153
04 Almeria;Mujeres;2014;345.025
04 Almeria;Mujeres;2013;343.671
04 Almeria;Mujeres;2012;344.672
04 Almeria;Mujeres;2011;341.630
04 Almeria;Mujeres;2010;337.448
04 Almeria;Mujeres;2009;332.031
04 Almeria;Mujeres;2008;323.919
04 Almeria;Mujeres;2007;313.406
04 Almeria;Mujeres;2006;306.218
04 Almeria;Mujeres;2005;297.259
04 Almeria;Mujeres;2004;285.891
04 Almeria;Mujeres;2003;278.018
04 Almeria;Mujeres;2002;270.118
04 Almeria;Mujeres;2001;263.623
04 Almeria;Mujeres;2000;258.845
04 Almeria;Mujeres;1999;256.463
04 Almeria;Mujeres;1998;253.271
04 Almeria;Mujeres;1997;""
04 Almeria;Mujeres;1996;251.209
01 Araba/Alava;Total;2021;333.626
01 Araba/Alava;Total;2020;333.940
01 Araba/Alava;Total;2019;331.549
01 Araba/Alava;Total;2018;328.868
01 Araba/Alava;Total;2017;326.574
01 Araba/Alava;Total;2016;324.126
01 Araba/Alava;Total;2015;323.648
01 Araba/Alava;Total;2014;321.932
01 Araba/Alava;Total;2013;321.417
01 Araba/Alava;Total;2012;322.557
01 Araba/Alava;Total;2011;319.227
01 Araba/Alava;Total;2010;317.352
01 Araba/Alava;Total;2009;313.819
01 Araba/Alava;Total;2008;309.635
01 Araba/Alava;Total;2007;305.459
01 Araba/Alava;Total;2006;301.926
01 Araba/Alava;Total;2005;299.957
01 Araba/Alava;Total;2004;295.905
01 Araba/Alava;Total;2003;294.360
01 Araba/Alava;Total;2002;291.860
01 Araba/Alava;Total;2001;288.793
01 Araba/Alava;Total;2000;286.497
01 Araba/Alava;Total;1999;285.748
01 Araba/Alava;Total;1998;284.595
01 Araba/Alava;Total;1997;""
01 Araba/Alava;Total;1996;281.821
01 Araba/Alava;Hombres;2021;164.252
01 Araba/Alava;Hombres;2020;164.524
01 Araba/Alava;Hombres;2019;163.499
01 Araba/Alava;Hombres;2018;162.175
01 Araba/Alava;Hombres;2017;161.354
01 Araba/Alava;Hombres;2016;160.240
01 Araba/Alava;Hombres;2015;160.294
01 Araba/Alava;Hombres;2014;159.583
01 Araba/Alava;Hombres;2013;159.622
01 Araba/Alava;Hombres;2012;160.649
01 Araba/Alava;Hombres;2011;159.041
01 Araba/Alava;Hombres;2010;158.322
01 Araba/Alava;Hombres;2009;156.418
01 Araba/Alava;Hombres;2008;154.376
01 Araba/Alava;Hombres;2007;152.040
01 Araba/Alava;Hombres;2006;150.297
01 Araba/Alava;Hombres;2005;149.623
01 Araba/Alava;Hombres;2004;147.475
01 Araba/Alava;Hombres;2003;146.651
01 Araba/Alava;Hombres;2002;145.251
01 Araba/Alava;Hombres;2001;143.579
01 Araba/Alava;Hombres;2000;142.269
01 Araba/Alava;Hombres;1999;141.900
01 Araba/Alava;Hombres;1998;141.350
01 Araba/Alava;Hombres;1997;""
01 Araba/Alava;Hombres;1996;139.940
01 Araba/Alava;Mujeres;2021;169.374
01 Araba/Alava;Mujeres;2020;169.416
01 Araba/Alava;Mujeres;2019;168.050
01 Araba/Alava;Mujeres;2018;166.693
01 Araba/Alava;Mujeres;2017;165.220
01 Araba/Alava;Mujeres;2016;163.886
01 Araba/Alava;Mujeres;2015;163.354
01 Araba/Alava;Mujeres;2014;162.349
01 Araba/Alava;Mujeres;2013;161.795
01 Araba/Alava;Mujeres;2012;161.908
01 Araba/Alava;Mujeres;2011;160.186
01 Araba/Alava;Mujeres;2010;159.030
01 Araba/Alava;Mujeres;2009;157.401
01 Araba/Alava;Mujeres;2008;155.259
01 Araba/Alava;Mujeres;2007;153.419
01 Araba/Alava;Mujeres;2006;151.629
01 Araba/Alava;Mujeres;2005;150.334
01 Araba/Alava;Mujeres;2004;148.430
01 Araba/Alava;Mujeres;2003;147.709
01 Araba/Alava;Mujeres;2002;146.609
01 Araba/Alava;Mujeres;2001;145.214
01 Araba/Alava;Mujeres;2000;144.228
01 Araba/Alava;Mujeres;1999;143.848
01 Araba/Alava;Mujeres;1998;143.245
01 Araba/Alava;Mujeres;1997;""
01 Araba/Alava;Mujeres;1996;141.881
33 Asturias;Total;2021;1.011.792
33 Asturias;Total;2020;1.018.784
33 Asturias;Total;2019;1.022.800
33 Asturias;Total;2018;1.028.244
33 Asturias;Total;2017;1.034.960
33 Asturias;Total;2016;1.042.608
33 Asturias;Total;2015;1.051.229
33 Asturias;Total;2014;1.061.756
33 Asturias;Total;2013;1.068.165
33 Asturias;Total;2012;1.077.360
33 Asturias;Total;2011;1.081.487
33 Asturias;Total;2010;1.084.341
33 Asturias;Total;2009;1.085.289
33 Asturias;Total;2008;1.080.138
33 Asturias;Total;2007;1.074.862
33 Asturias;Total;2006;1.076.896
33 Asturias;Total;2005;1.076.635
33 Asturias;Total;2004;1.073.761
33 Asturias;Total;2003;1.075.381
33 Asturias;Total;2002;1.073.971
33 Asturias;Total;2001;1.075.329
33 Asturias;Total;2000;1.076.567
33 Asturias;Total;1999;1.084.314
33 Asturias;Total;1998;1.081.834
33 Asturias;Total;1997;""
33 Asturias;Total;1996;1.087.885
33 Asturias;Hombres;2021;482.665
33 Asturias;Hombres;2020;486.066
33 Asturias;Hombres;2019;488.137
33 Asturias;Hombres;2018;490.738
33 Asturias;Hombres;2017;493.911
33 Asturias;Hombres;2016;497.852
33 Asturias;Hombres;2015;502.175
33 Asturias;Hombres;2014;507.927
