El municipio en cifras
Distribucion de la edad media segun el tamaño de los municipios de la comunidad
Periodo;Anual;2017
Orden;Cod. Territorio;Territorio;Edad media;Poblacion total
151;28155;Valdaracete;44,45;643
152;28156;Valdeavero;38,98;1450
153;28157;Valdelaguna;42,71;867
154;28158;Valdemanco;43,43;916
155;28159;Valdemaqueda;43,18;768
156;28160;Valdemorillo;39,09;12300
157;28161;Valdemoro;35,63;73976
158;28162;Valdeolmos - Alalpardo;36,03;3906
159;28163;Valdepielagos;41,77;587
160;28164;Valdetorres de Jarama;40,51;4316
161;28165;Valdilecha;39,71;2755
162;28166;Valverde de Alcala;43,6;427
163;28167;Velilla de San Antonio;36,34;12111
164;28168;Vellon (El);41,7;1834
165;28169;Venturada;40,07;2032
166;28171;Villa del Prado;40,88;6337
167;28170;Villaconejos;41,2;3350
168;28172;Villalbilla;35,8;13038
169;28173;Villamanrique de Tajo;44,49;694
170;28174;Villamanta;43,31;2491
171;28175;Villamantilla;37,37;1382
172;28176;Villanueva de la Cañada;36,98;20320
173;28178;Villanueva de Perales;39,2;1519
174;28177;Villanueva del Pardillo;34,12;17025
175;28179;Villar del Olmo;40,75;1997
176;28180;Villarejo de Salvanes;40,2;7245
177;28181;Villaviciosa de Odon;41,37;27504
178;28182;Villavieja del Lozoya;45,27;267
179;28183;Zarzalejo;41,36;1596
