Nacionalidad;Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Año;Total
Kazajstán;Ambos sexos;Total Nacional;;2022;3.475
Líbano;Ambos sexos;Total Nacional;;2022;2.821
Nepal;Ambos sexos;Total Nacional;;2022;5.419
Pakistán;Ambos sexos;Total Nacional;;2022;100.496
Siria;Ambos sexos;Total Nacional;;2022;8.019
Tailandia;Ambos sexos;Total Nacional;;2022;2.326
Vietnam;Ambos sexos;Total Nacional;;2022;2.434
Resto de Asia;Ambos sexos;Total Nacional;;2022;10.027
Australia;Ambos sexos;Total Nacional;;2022;2.692
Nueva Zelanda;Ambos sexos;Total Nacional;;2022;772
Resto de Oceanía;Ambos sexos;Total Nacional;;2022;116
